earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q5871766,Q5871766,Point(103.724 28.627)
http://www.wikidata.org/entity/Q5917745,1930 Pyu earthquake,Point(96.298 18.233)
http://www.wikidata.org/entity/Q5925892,Q5925892,Point(-79.955 -0.025)
http://www.wikidata.org/entity/Q5917748,Q5917748,Point(27.284 37.617)
http://www.wikidata.org/entity/Q5908843,Q5908843,Point(74.734 39.831)
http://www.wikidata.org/entity/Q5916311,Q5916311,Point(-86.875 12.598)
http://www.wikidata.org/entity/Q5486061,Q5486061,Point(-70.321 -19.394)
http://www.wikidata.org/entity/Q5923381,Q5923381,Point(-0.628 5.552)
http://www.wikidata.org/entity/Q5921146,Q5921146,Point(-101.451 17.457)
http://www.wikidata.org/entity/Q5920767,1920 Hualien earthquake,Point(121.986 23.684)
http://www.wikidata.org/entity/Q5911717,Q5911717,Point(32.335 34.741)
http://www.wikidata.org/entity/Q5912416,Q5912416,Point(-74.725 -10.973)
http://www.wikidata.org/entity/Q5922326,Q5922326,Point(54.648 39.826)
http://www.wikidata.org/entity/Q5685434,1822 Valparaíso earthquake,Point(-71.63 -33.05)
http://www.wikidata.org/entity/Q5923144,Q5923144,Point(122.295 10.8)
http://www.wikidata.org/entity/Q5925260,Q5925260,Point(127.339 7.563)
http://www.wikidata.org/entity/Q5925341,Q5925341,Point(56.833 29.196)
http://www.wikidata.org/entity/Q5870271,Q5870271,Point(103.0 24.4)
http://www.wikidata.org/entity/Q5880639,Q5880639,Point(-73.823 -16.469)
http://www.wikidata.org/entity/Q5912669,Q5912669,Point(87.843 43.745)
http://www.wikidata.org/entity/Q5920874,Q5920874,Point(84.164 36.983)
http://www.wikidata.org/entity/Q5920105,Q5920105,Point(29.031 -3.536)
http://www.wikidata.org/entity/Q5906104,Q5906104,Point(91.64 27.7)
http://www.wikidata.org/entity/Q5920210,Q5920210,Point(103.693 28.845)
http://www.wikidata.org/entity/Q5485841,Q5485841,Point(-64.2 -23.0)
http://www.wikidata.org/entity/Q5881288,Q5881288,Point(101.468 0.102)
http://www.wikidata.org/entity/Q5921149,Q5921149,Point(-74.867 -15.008)
http://www.wikidata.org/entity/Q5908145,1946 Chatkal earthquake,Point(71.854 41.757)
http://www.wikidata.org/entity/Q5926284,Q5926284,Point(-70.472 -26.432)
http://www.wikidata.org/entity/Q5911542,Q5911542,Point(26.596 39.502)
http://www.wikidata.org/entity/Q5518608,Galilee earthquake of 363,Point(35.366 32.999)
http://www.wikidata.org/entity/Q5905016,Q5905016,Point(99.814 22.408)
http://www.wikidata.org/entity/Q5919787,Q5919787,Point(104.188 28.379)
http://www.wikidata.org/entity/Q5903590,Q5903590,Point(83.892 43.29)
http://www.wikidata.org/entity/Q5478229,Q5478229,Point(161.116 -10.878)
http://www.wikidata.org/entity/Q5926145,Q5926145,Point(118.881 -0.557)
http://www.wikidata.org/entity/Q5914683,Q5914683,Point(-68.403 -22.751)
http://www.wikidata.org/entity/Q5921067,Q5921067,Point(100.75 31.295)
http://www.wikidata.org/entity/Q5920968,Q5920968,Point(121.842 24.33)
http://www.wikidata.org/entity/Q5910546,1956 Anjar earthquake,Point(70.107 23.278)
http://www.wikidata.org/entity/Q5917539,Q5917539,Point(58.785 33.482)
http://www.wikidata.org/entity/Q5371817,2010 Venezuelan earthquake,Point(-63.495 10.421)
http://www.wikidata.org/entity/Q5921962,Q5921962,Point(-70.372 -13.613)
http://www.wikidata.org/entity/Q5894966,1920 Xalapa earthquake,Point(-97.13333333 19.25)
