item,itemLabel,link,itemType
http://www.wikidata.org/entity/Q1193618,"Мацуи, Наоко",http://www.wikidata.org/entity/Q1195724,seiyu
http://www.wikidata.org/entity/Q1352269,"Накао, Рюсэй",http://www.wikidata.org/entity/Q1193711,seiyu
http://www.wikidata.org/entity/Q1195683,Digital Monster X-Evolution,http://www.wikidata.org/entity/Q11565283,http://www.wikidata.org/entity/Q11565283
http://www.wikidata.org/entity/Q254368,Мэгуми Огата,http://www.wikidata.org/entity/Q1196712,seiyu
http://www.wikidata.org/entity/Q2370350,Такаши Танигути,http://www.wikidata.org/entity/Q1193711,seiyu
http://www.wikidata.org/entity/Q375753,"Такано, Урара",http://www.wikidata.org/entity/Q1196712,seiyu
http://www.wikidata.org/entity/Q2468138,Джонни Йонг Бош,http://www.wikidata.org/entity/Q1193324,seiyu
http://www.wikidata.org/entity/Q2713581,"Нода, Дзюнко",http://www.wikidata.org/entity/Q1195683,seiyu
http://www.wikidata.org/entity/Q940136,"Ямагути, Маюми",http://www.wikidata.org/entity/Q1195683,seiyu
http://www.wikidata.org/entity/Q2642437,Wendee Lee,http://www.wikidata.org/entity/Q1193324,seiyu
http://www.wikidata.org/entity/Q11565283,"Таки, Сатоси",http://www.wikidata.org/entity/Q1195683,seiyu
http://www.wikidata.org/entity/Q937873,"Иваи, Юкико",http://www.wikidata.org/entity/Q1193711,seiyu
http://www.wikidata.org/entity/Q937873,"Иваи, Юкико",http://www.wikidata.org/entity/Q1195724,seiyu
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q225654,http://www.wikidata.org/entity/Q225654
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q233380,http://www.wikidata.org/entity/Q233380
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q355173,http://www.wikidata.org/entity/Q355173
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q418762,http://www.wikidata.org/entity/Q418762
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q535637,http://www.wikidata.org/entity/Q535637
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q937873,http://www.wikidata.org/entity/Q937873
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q945665,http://www.wikidata.org/entity/Q945665
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q1193618,http://www.wikidata.org/entity/Q1193618
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q1323029,http://www.wikidata.org/entity/Q1323029
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q1352269,http://www.wikidata.org/entity/Q1352269
http://www.wikidata.org/entity/Q1193711,Case Closed: The Fourteenth Target,http://www.wikidata.org/entity/Q2002565,http://www.wikidata.org/entity/Q2002565
