seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q6453064,Kyōko Tongū,1955-10-11T00:00:00Z
http://www.wikidata.org/entity/Q8050055,ياسونوري ماسوتاني,1947-07-05T00:00:00Z
http://www.wikidata.org/entity/Q8050055,ياسونوري ماسوتاني,1961-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1343503,Tomoya Nagase,1978-11-07T00:00:00Z
http://www.wikidata.org/entity/Q288114,Joe Odagiri,1976-02-16T00:00:00Z
http://www.wikidata.org/entity/Q8189610,Takuya Kirimoto,1967-07-27T00:00:00Z
http://www.wikidata.org/entity/Q13548136,Victoria Harwood,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16941402,Katherine Gray,1965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1359788,هيدينوبو كيوتشي,1969-02-05T00:00:00Z
http://www.wikidata.org/entity/Q1373594,يومي كاكازو,1973-06-18T00:00:00Z
http://www.wikidata.org/entity/Q590923,يوكي ماتسوكا,1970-09-13T00:00:00Z
http://www.wikidata.org/entity/Q2002565,Hirotaka Suzuoki,1950-03-06T00:00:00Z
http://www.wikidata.org/entity/Q2027862,كيوتاكا فوروشيما,1979-04-19T00:00:00Z
http://www.wikidata.org/entity/Q2271226,Ichirō Nagai,1923-05-10T00:00:00Z
http://www.wikidata.org/entity/Q2271226,Ichirō Nagai,1931-05-10T00:00:00Z
http://www.wikidata.org/entity/Q725392,Katsuyuki Konishi,1973-04-21T00:00:00Z
http://www.wikidata.org/entity/Q849564,هيروكو تاجوشى,1995-12-01T00:00:00Z
http://www.wikidata.org/entity/Q2440809,Hideyuki Tanaka,1950-11-12T00:00:00Z
http://www.wikidata.org/entity/Q1040776,Yōko Honna,1979-01-07T00:00:00Z
http://www.wikidata.org/entity/Q1057331,Ryūji Saikachi,1928-03-27T00:00:00Z
http://www.wikidata.org/entity/Q2462286,Mugihito,1944-08-08T00:00:00Z
http://www.wikidata.org/entity/Q2663030,شيغيرو ناكاهارا,1961-01-22T00:00:00Z
http://www.wikidata.org/entity/Q1063785,كيوكو هيكامي,1969-01-11T00:00:00Z
http://www.wikidata.org/entity/Q1066575,Yukari Fukui,1982-10-28T00:00:00Z
http://www.wikidata.org/entity/Q81238076,Shosei Ohira,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1071386,Kiyomi Asai,1974-04-12T00:00:00Z
http://www.wikidata.org/entity/Q1114341,Iemasa Kayumi,1932-10-31T00:00:00Z
http://www.wikidata.org/entity/Q1139865,Kōji Ishii,1960-07-01T00:00:00Z
http://www.wikidata.org/entity/Q49474,Kana Asumi,1983-08-12T00:00:00Z
